EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
1.938,10.364,9.430,13.260,16.483,7.821,13.722,15.403,-0.106,1.020,0.061,-11.200,2.777,1.556,60.000,62540.000,1.000
1.300,8.149,7.675,10.919,13.887,5.435,11.657,11.941,-0.104,1.020,0.063,-11.414,3.021,1.526,60.000,62541.000,1.000
0.212,5.531,6.058,8.999,10.766,2.636,9.178,9.028,-0.102,1.018,0.065,-11.627,3.204,1.526,60.000,62542.000,1.000
-0.618,3.161,5.010,7.738,7.698,0.019,6.454,6.737,-0.101,1.017,0.064,-11.780,3.448,1.373,60.000,62543.000,1.000
-0.607,1.348,4.207,6.433,5.097,-2.268,3.435,4.216,-0.100,1.015,0.071,-11.841,3.815,1.343,60.000,62544.000,1.000
0.309,0.235,3.278,4.706,3.084,-4.026,0.159,1.073,-0.102,1.009,0.075,-11.871,4.211,1.373,60.000,62545.000,1.000
1.742,0.067,2.455,3.209,1.672,-4.647,-2.866,-1.839,-0.102,1.009,0.077,-11.810,4.517,1.404,60.000,62546.000,1.000
3.222,0.990,2.216,2.782,0.973,-3.624,-4.810,-3.290,-0.104,1.005,0.079,-11.780,4.822,1.404,60.000,62547.000,1.000
4.367,2.585,2.425,3.181,1.060,-1.372,-5.193,-3.135,-0.104,1.001,0.082,-11.627,5.035,1.343,60.000,62548.000,1.000
4.934,4.015,2.356,3.324,1.787,1.022,-4.225,-2.316,-0.107,0.998,0.081,-11.444,5.249,1.312,60.000,62549.000,1.000
4.984,4.805,1.730,2.810,2.887,2.973,-2.442,-1.466,-0.107,0.994,0.084,-11.261,5.432,1.221,60.000,62550.000,1.000
4.855,5.169,1.199,2.477,4.088,4.793,-0.315,-0.265,-0.108,0.992,0.084,-10.864,5.554,1.160,60.000,62551.000,1.000
4.821,5.432,1.464,3.153,5.087,6.757,1.697,1.582,-0.109,0.989,0.084,-10.376,5.646,1.099,60.000,62552.000,1.000
4.880,5.486,2.287,4.409,5.594,8.366,3.080,3.394,-0.110,0.986,0.087,-10.010,5.676,0.946,60.000,62553.000,1.000
4.921,5.067,2.804,5.088,5.528,8.946,3.570,4.135,-0.110,0.986,0.085,-9.521,5.737,0.793,60.000,62554.000,1.000
5.005,4.428,2.747,4.870,5.125,8.731,3.420,3.733,-0.110,0.983,0.087,-9.033,5.859,0.854,60.000,62555.000,1.000
