EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
4.160,-7.753,2.998,7.076,-2.364,-10.473,-3.883,-1.429,-0.167,0.995,0.105,0.244,-2.380,-0.854,60.000,20154.000,1.000
4.041,-5.392,6.205,8.321,0.494,-7.491,-1.021,0.664,-0.165,0.995,0.106,0.336,-2.380,-0.854,60.000,20155.000,1.000
3.363,-4.518,8.269,9.047,0.936,-6.700,-0.685,1.177,-0.165,0.995,0.105,0.305,-2.441,-0.763,60.000,20156.000,1.000
2.183,-5.368,8.126,7.971,-0.751,-8.827,-2.890,-0.705,-0.164,0.995,0.105,0.366,-2.319,-0.671,60.000,20157.000,1.000
1.487,-6.551,6.601,5.672,-2.784,-12.139,-5.690,-3.788,-0.161,0.994,0.105,0.488,-2.197,-0.610,60.000,20158.000,1.000
2.331,-6.150,5.874,4.306,-3.368,-13.759,-6.791,-5.599,-0.159,0.993,0.106,0.580,-2.014,-0.519,60.000,20159.000,1.000
4.809,-3.485,7.298,5.238,-1.949,-12.150,-5.262,-4.706,-0.158,0.991,0.107,0.580,-1.862,-0.519,60.000,20160.000,1.000
8.035,0.455,10.191,7.603,0.871,-8.118,-1.829,-1.971,-0.158,0.992,0.104,0.763,-1.709,-0.580,60.000,20161.000,1.000
10.973,4.186,12.887,9.486,4.161,-3.547,2.010,0.587,-0.157,0.993,0.103,1.038,-1.495,-0.458,60.000,20162.000,1.000
13.055,7.012,14.588,10.088,7.178,0.363,4.932,1.838,-0.156,0.995,0.104,0.946,-1.343,-0.427,60.000,20163.000,1.000
14.211,9.169,15.830,10.201,9.426,3.542,6.254,2.171,-0.154,0.993,0.105,0.946,-1.068,-0.366,60.000,20164.000,1.000
14.649,11.042,17.330,10.719,10.682,6.262,6.034,2.299,-0.155,0.993,0.104,0.977,-0.793,-0.305,60.000,20165.000,1.000
14.664,12.536,18.827,11.302,11.059,8.433,4.915,2.079,-0.156,0.993,0.103,1.007,-0.458,-0.275,60.000,20166.000,1.000
14.440,13.200,19.330,10.862,10.847,9.783,3.730,0.904,-0.156,0.993,0.105,1.068,-0.214,-0.427,60.000,20167.000,1.000
14.008,12.875,18.422,9.143,10.240,10.508,3.082,-0.976,-0.155,0.992,0.107,1.129,-0.031,-0.397,60.000,20168.000,1.000
13.435,12.068,16.913,7.297,9.281,11.361,3.160,-2.162,-0.156,0.995,0.105,1.251,0.122,-0.427,60.000,20169.000,1.000
12.808,11.389,15.799,6.499,7.913,12.767,3.646,-1.576,-0.157,0.997,0.106,1.312,0.519,-0.458,60.000,20170.000,1.000
11.834,10.573,14.695,6.218,5.847,13.849,3.639,-0.016,-0.157,0.997,0.108,1.160,0.732,-0.488,60.000,20171.000,1.000
9.764,8.503,11.991,4.570,2.531,12.865,1.987,0.423,-0.157,0.999,0.106,1.160,0.916,-0.519,60.000,20172.000,1.000
6.147,4.497,6.890,0.615,-2.323,8.926,-1.839,-1.366,-0.156,1.001,0.106,1.129,1.160,-0.488,60.000,20173.000,1.000
1.527,-0.692,0.727,-4.383,-8.157,2.988,-7.140,-4.351,-0.158,1.000,0.107,1.099,1.312,-0.458,60.000,20174.000,1.000
-2.873,-5.462,-4.214,-8.394,-13.669,-3.026,-12.372,-6.682,-0.159,0.999,0.108,1.007,1.495,-0.458,60.000,20175.000,1.000
-6.000,-8.539,-6.653,-10.592,-17.297,-7.500,-15.895,-7.438,-0.159,0.998,0.107,0.824,1.648,-0.366,60.000,20176.000,1.000
-7.420,-9.232,-6.574,-11.244,-17.579,-9.218,-16.286,-6.517,-0.159,0.999,0.108,0.763,1.831,-0.336,60.000,20177.000,1.000
-7.249,-7.202,-4.352,-10.401,-13.915,-7.299,-12.911,-3.727,-0.161,0.997,0.105,0.732,1.984,-0.427,60.000,20178.000,1.000
-5.830,-2.788,-0.609,-7.786,-7.548,-2.128,-6.955,0.855,-0.159,0.995,0.107,0.793,2.136,-0.366,60.000,20179.000,1.000
-3.343,2.759,3.496,-3.783,-1.056,4.235,-1.133,5.994,-0.160,0.995,0.105,0.610,2.258,-0.214,60.000,20180.000,1.000
0.337,8.024,6.719,0.307,3.684,9.429,2.367,9.730,-0.159,0.995,0.104,0.458,2.380,-0.153,60.000,20181.000,1.000
5.429,12.497,8.706,3.303,6.682,12.532,3.409,10.899,-0.159,0.996,0.107,0.458,2.533,-0.214,60.000,20182.000,1.000
11.915,16.797,10.399,5.291,9.085,14.445,3.413,10.131,-0.157,0.993,0.108,0.610,2.655,-0.183,60.000,20183.000,1.000
19.280,21.818,13.285,7.451,11.800,16.715,3.774,9.257,-0.157,0.994,0.106,0.702,2.777,-0.153,60.000,20184.000,1.000
26.512,27.640,17.901,10.504,14.906,19.925,4.851,9.582,-0.158,0.992,0.106,0.702,2.869,-0.183,60.000,20185.000,1.000
32.375,33.240,22.935,13.468,17.855,23.118,6.047,10.657,-0.161,0.993,0.102,0.702,3.021,-0.214,60.000,20186.000,1.000
35.852,37.258,26.128,14.402,19.906,24.774,6.507,10.925,-0.159,0.993,0.102,0.824,3.052,-0.061,60.000,20187.000,1.000
36.648,39.218,26.416,12.609,20.645,24.483,5.925,9.654,-0.158,0.993,0.105,0.824,3.021,-0.061,60.000,20188.000,1.000
35.412,40.008,24.909,9.604,20.351,23.543,4.945,7.866,-0.159,0.992,0.105,0.916,3.021,-0.061,60.000,20189.000,1.000
33.263,40.945,23.515,7.560,19.869,23.695,4.756,7.128,-0.159,0.992,0.105,0.885,3.204,-0.061,60.000,20190.000,1.000
30.995,42.426,23.001,7.198,20.057,25.456,6.196,7.846,-0.161,0.993,0.106,0.793,3.174,-0.031,60.000,20191.000,1.000
28.769,43.706,22.801,7.687,21.258,27.912,9.142,9.199,-0.162,0.994,0.103,0.916,3.174,-0.153,60.000,20192.000,1.000
26.547,44.006,22.463,8.406,23.243,30.048,12.836,10.616,-0.162,0.994,0.103,0.885,3.113,-0.153,60.000,20193.000,1.000
24.633,43.606,22.643,10.013,25.643,31.911,16.718,12.665,-0.162,0.995,0.103,0.946,3.143,-0.153,60.000,20194.000,1.000
23.550,43.540,24.229,13.285,28.239,34.195,20.666,16.050,-0.163,0.997,0.104,1.038,3.082,-0.183,60.000,20195.000,1.000
23.331,44.227,26.778,17.283,30.723,36.913,24.455,20.035,-0.164,0.999,0.103,0.916,2.991,-0.336,60.000,20196.000,1.000
23.001,44.697,28.331,19.412,32.248,38.902,27.285,22.485,-0.166,1.001,0.106,0.854,2.869,-0.183,60.000,20197.000,1.000
20.769,43.071,26.761,17.372,31.326,38.488,27.850,21.450,-0.165,1.003,0.106,0.885,2.686,-0.244,60.000,20198.000,1.000
14.981,37.759,21.134,10.780,26.463,34.491,24.910,16.484,-0.167,1.003,0.104,0.793,2.655,-0.183,60.000,20199.000,1.000
5.319,28.446,11.984,0.976,17.351,26.797,18.146,8.502,-0.166,1.001,0.102,0.732,2.533,-0.397,60.000,20200.000,1.000
-6.624,16.382,0.733,-10.154,5.557,16.377,8.650,-1.135,-0.166,0.998,0.105,0.671,2.441,-0.397,60.000,20201.000,1.000
-17.902,4.080,-10.648,-20.646,-5.971,5.159,-1.376,-10.915,-0.167,0.997,0.106,0.671,2.258,-0.397,60.000,20202.000,1.000
-25.532,-5.423,-19.539,-28.163,-14.267,-4.201,-9.511,-18.871,-0.167,0.996,0.104,0.763,2.106,-0.427,60.000,20203.000,1.000
-27.823,-9.811,-23.259,-30.458,-17.685,-9.262,-14.129,-23.019,-0.165,0.997,0.109,0.732,1.923,-0.397,60.000,20204.000,1.000
-24.954,-8.673,-20.702,-26.918,-16.341,-9.190,-14.943,-22.702,-0.166,0.997,0.103,0.885,1.862,-0.427,60.000,20205.000,1.000
-18.637,-3.724,-13.487,-19.532,-11.644,-5.295,-12.811,-19.299,-0.165,0.995,0.103,0.885,1.740,-0.427,60.000,20206.000,1.000
-11.223,2.215,-5.064,-11.739,-5.607,-0.138,-9.225,-15.233,-0.166,0.995,0.103,1.007,1.587,-0.519,60.000,20207.000,1.000
-4.699,6.803,1.663,-5.960,-0.217,4.097,-5.701,-12.107,-0.165,0.992,0.102,1.099,1.465,-0.397,60.000,20208.000,1.000
0.017,9.276,5.919,-2.267,3.282,6.743,-3.114,-9.837,-0.164,0.990,0.101,1.160,1.434,-0.336,60.000,20209.000,1.000
3.049,10.218,8.468,0.498,4.846,8.303,-1.457,-7.554,-0.163,0.988,0.100,1.221,1.343,-0.366,60.000,20210.000,1.000
4.865,10.400,9.945,2.762,5.278,9.182,-0.314,-5.006,-0.164,0.991,0.099,1.251,1.221,-0.275,60.000,20211.000,1.000
5.619,9.999,10.191,3.877,5.330,9.157,0.500,-2.730,-0.162,0.990,0.098,1.434,1.160,-0.275,60.000,20212.000,1.000
5.177,8.888,9.100,3.504,5.116,8.052,0.766,-1.070,-0.162,0.990,0.098,1.434,1.038,-0.214,60.000,20213.000,1.000
3.613,7.304,7.475,2.540,4.369,6.420,0.287,0.428,-0.161,0.991,0.096,1.648,1.038,-0.275,60.000,20214.000,1.000
1.488,5.861,6.514,2.220,3.110,5.232,-0.639,2.350,-0.159,0.991,0.098,1.648,1.007,-0.214,60.000,20215.000,1.000
-0.428,5.004,6.638,2.741,1.944,5.062,-1.208,4.525,-0.160,0.991,0.099,1.801,0.977,-0.183,60.000,20216.000,1.000
-1.598,4.816,7.344,3.361,1.708,5.971,-0.467,6.383,-0.160,0.994,0.096,1.770,1.007,-0.153,60.000,20217.000,1.000
-1.935,5.300,8.138,3.689,2.770,7.967,2.144,7.984,-0.160,0.994,0.093,1.892,0.885,-0.214,60.000,20218.000,1.000
-1.898,6.311,8.921,4.108,4.513,10.826,6.128,9.909,-0.162,0.996,0.096,1.984,0.732,-0.214,60.000,20219.000,1.000
-2.397,7.054,9.296,4.715,5.541,13.369,9.795,11.979,-0.162,0.998,0.096,1.953,0.885,-0.214,60.000,20220.000,1.000
-4.230,6.226,8.208,4.587,4.702,13.781,11.301,12.798,-0.161,1.000,0.095,1.892,0.824,-0.305,60.000,20221.000,1.000
-7.382,3.102,4.868,2.729,2.029,11.197,10.038,11.097,-0.163,0.999,0.097,1.770,0.732,-0.397,60.000,20222.000,1.000
-10.955,-1.538,-0.028,-0.422,-1.323,6.784,6.975,7.380,-0.162,1.000,0.093,1.678,0.671,-0.519,60.000,20223.000,1.000
-13.745,-5.778,-4.384,-2.954,-3.915,2.964,3.803,3.829,-0.163,1.000,0.092,1.587,0.671,-0.519,60.000,20224.000,1.000
-14.962,-8.050,-6.358,-3.244,-4.884,1.475,1.788,2.347,-0.161,0.999,0.095,1.587,0.641,-0.641,60.000,20225.000,1.000
